,Raw,Package,Details
45,"extundelete/focal,now 0.2.4-2build1 amd64 [installed]",extundelete,"focal,now 0.2.4-2build1 amd64 [installed]"
46,"fdupes/focal,now 1:1.6.1-2 amd64 [installed]",fdupes,"focal,now 1:1.6.1-2 amd64 [installed]"
47,"feh/focal,now 3.3-1 amd64 [installed]",feh,"focal,now 3.3-1 amd64 [installed]"
48,"findutils/focal,now 4.7.0-1ubuntu1 amd64 [installed]",findutils,"focal,now 4.7.0-1ubuntu1 amd64 [installed]"
49,"flasm/focal,now 1.62-10 amd64 [installed]",flasm,"focal,now 1.62-10 amd64 [installed]"
50,"flex/focal,now 2.6.4-6.2 amd64 [installed]",flex,"focal,now 2.6.4-6.2 amd64 [installed]"
51,"foremost/focal,now 1.5.7-9 amd64 [installed]",foremost,"focal,now 1.5.7-9 amd64 [installed]"
52,"fuse3/focal,now 3.9.0-2 amd64 [installed]",fuse3,"focal,now 3.9.0-2 amd64 [installed]"
53,"gddrescue/focal,now 1.23-2build1 amd64 [installed]",gddrescue,"focal,now 1.23-2build1 amd64 [installed]"
54,"gdm3/focal-updates,now 3.36.3-0ubuntu0.20.04.4 amd64 [installed]",gdm3,"focal-updates,now 3.36.3-0ubuntu0.20.04.4 amd64 [installed]"
55,"ghex/focal,now 3.18.4-1 amd64 [installed]",ghex,"focal,now 3.18.4-1 amd64 [installed]"
56,"graphviz/focal,now 2.42.2-3build2 amd64 [installed]",graphviz,"focal,now 2.42.2-3build2 amd64 [installed]"
57,"grep/focal,now 3.4-1 amd64 [installed]",grep,"focal,now 3.4-1 amd64 [installed]"
58,"grepcidr/focal,now 2.0-2 amd64 [installed]",grepcidr,"focal,now 2.0-2 amd64 [installed]"
59,"gthumb/focal-updates,focal-security,now 3:3.8.0-2.1ubuntu0.1 amd64 [installed]",gthumb,"focal-updates,focal-security,now 3:3.8.0-2.1ubuntu0.1 amd64 [installed]"
60,"gzip/focal-updates,focal-security,now 1.10-0ubuntu4.1 amd64 [installed]",gzip,"focal-updates,focal-security,now 1.10-0ubuntu4.1 amd64 [installed]"
61,"gzrt/focal,now 0.8-1 amd64 [installed]",gzrt,"focal,now 0.8-1 amd64 [installed]"
62,"hashdeep/focal,now 4.4-6build1 amd64 [installed]",hashdeep,"focal,now 4.4-6build1 amd64 [installed]"
63,"hexedit/focal,now 1.4.2-6 amd64 [installed]",hexedit,"focal,now 1.4.2-6 amd64 [installed]"
64,"hibagent/focal,now 1.0.1-0ubuntu1 all [installed]",hibagent,"focal,now 1.0.1-0ubuntu1 all [installed]"
65,"hostname/focal,now 3.23 amd64 [installed]",hostname,"focal,now 3.23 amd64 [installed]"
66,"hydra-gtk/focal,now 9.0-1build1 amd64 [installed]",hydra-gtk,"focal,now 9.0-1build1 amd64 [installed]"
67,"hydra/focal,now 9.0-1build1 amd64 [installed]",hydra,"focal,now 9.0-1build1 amd64 [installed]"
68,"init/focal,now 1.57 amd64 [installed]",init,"focal,now 1.57 amd64 [installed]"
69,"intel-microcode/focal-updates,focal-security,now 3.20230214.0ubuntu0.20.04.1 amd64 [installed]",intel-microcode,"focal-updates,focal-security,now 3.20230214.0ubuntu0.20.04.1 amd64 [installed]"
70,"ipython3/focal,now 7.13.0-1 all [installed]",ipython3,"focal,now 7.13.0-1 all [installed]"
71,"iucode-tool/focal,now 2.3.1-1 amd64 [installed]",iucode-tool,"focal,now 2.3.1-1 amd64 [installed]"
72,"jq/focal-updates,now 1.6-1ubuntu0.20.04.1 amd64 [installed]",jq,"focal-updates,now 1.6-1ubuntu0.20.04.1 amd64 [installed]"
73,"kdiff3/focal,now 1.8.01-1build1 amd64 [installed]",kdiff3,"focal,now 1.8.01-1build1 amd64 [installed]"
74,"knocker/focal,now 0.7.1-6 amd64 [installed]",knocker,"focal,now 0.7.1-6 amd64 [installed]"
75,"lft/focal,now 3.8-2 amd64 [installed]",lft,"focal,now 3.8-2 amd64 [installed]"
133,"magnus/focal,now 1.0.3-1 all [installed]",magnus,"focal,now 1.0.3-1 all [installed]"
